"match_id","gold_diff","xp_diff","cs_diff","kills_diff","gold_diff_top","xp_diff_top","cs_diff_top","gold_diff_jungle","xp_diff_jungle","cs_diff_jungle","gold_diff_mid","xp_diff_mid","cs_diff_mid","gold_diff_adc","xp_diff_adc","cs_diff_adc","gold_diff_support","xp_diff_support","cs_diff_support","blue_dragons","red_dragons","blue_voidgrubs","red_voidgrubs","first_blood","blue_avg_champion_wr","red_avg_champion_wr","synergy_diff","blue_has_duo","red_has_duo","blue_duo_impact","red_duo_impact","duo_impact_diff","blue_wins","resultado"
"BR1_3225555792",-3638,-3023,-23,-10,-239,-370,-13,-1204,259,1,-1693,-2124,-19,-255,-541,9,-247,-247,-1,0,1,0,3,0,0.515067620055318,0.481939123729668,0.03312849632565,1,1,-0.3099666999667,0.435862068965517,-0.745828768932217,0,"Vermelho vence"
"BR1_3225570472",642,775,56,-5,839,775,29,-482,-530,2,741,1273,24,-761,-132,5,305,-611,-4,0,1,0,3,0,0.507284846584036,0.498543272890727,0.00874157369330919,1,1,0.258386958386958,0.113689311340975,0.144697647045984,1,"Azul vence"
"BR1_3225589320",-205,-1487,3,-2,-988,-980,-9,-129,-675,2,387,71,2,5,18,2,520,79,6,0,0,3,0,0,0.507662427642663,0.487464224558985,0.0201982030836788,1,1,-0.0612407862407863,0.250102124183006,-0.311342910423793,0,"Vermelho vence"
"BR1_3225593418",31,-338,-28,2,137,-293,17,-675,-572,-23,711,722,7,-498,-513,-21,356,318,-8,0,1,3,0,0,0.533968690729986,0.491329011158573,0.0426396795714128,1,1,0.108223495473671,-0.0571932852490687,0.165416780722739,1,"Azul vence"
"BR1_3225596581",869,1697,0,6,1967,1935,33,-1253,-63,0,658,-387,-21,-522,59,-10,19,153,-2,0,0,3,0,1,0.452947675416023,0.517966185709586,-0.0650185102935626,1,1,-0.295037199384102,0.230299270022985,-0.525336469407088,0,"Vermelho vence"
"BR1_3225612335",-920,-883,-21,-3,255,661,32,1163,452,2,-702,-1116,-22,-1434,-703,-36,-202,-177,3,0,0,3,0,1,0.469249549378775,0.449765850702462,0.0194836986763129,1,1,-0.133333333333333,0.229224985230944,-0.362558318564277,0,"Vermelho vence"
"BR1_3225614075",-2656,-3056,-87,-4,-186,-95,-4,-758,-1681,-22,-1812,-1678,-39,-795,170,-10,895,228,-12,1,0,0,2,1,0.51955902192994,0.515993404903035,0.00356561702690583,1,1,-0.213034629056301,0.183545128229097,-0.396579757285398,0,"Vermelho vence"
"BR1_3225629002",356,611,1,3,-833,-162,-28,-19,421,13,502,-247,0,20,273,9,686,326,7,0,0,0,0,1,0.469096407262585,0.47926164619694,-0.0101652389343555,1,1,0.238852410404135,-0.268119649025161,0.506972059429295,1,"Azul vence"
"BR1_3225632965",-638,-555,-14,1,-902,-1070,-9,-774,-585,-8,-820,-738,-19,1667,932,27,191,906,-5,1,0,0,3,0,0.453582083523977,0.547199733507144,-0.0936176499831666,1,0,-0.0442307692307693,0,-0.0442307692307693,0,"Vermelho vence"
"BR1_3225635681",-401,-363,39,-2,-760,-443,5,-583,-194,10,1390,451,33,-174,-22,-16,-274,-155,7,1,0,2,0,1,0.515287070984766,0.491601326348886,0.0236857446358804,1,1,-0.131987478777589,0.34623216257847,-0.478219641356059,0,"Vermelho vence"
